translation_id,attribute,local_count,other_count,log_odds_ratio,z_score
butcher_lang_1879,queenly,0.0,6.0,-1.2550799824754408,-0.8630202708811737
butcher_lang_1879,servile,0.0,6.0,-1.2550799824754408,-0.8630202708811737
butcher_lang_1879,unwise,0.0,6.0,-1.2550799824754408,-0.8630202708811737
butcher_lang_1879,brazen,5.0,30.0,-0.41319194955221317,-0.8959965780627022
butcher_lang_1879,lawless,4.0,26.0,-0.47272718631312216,-0.9316183459192764
butcher_lang_1879,dauntless,1.0,12.0,-0.8162132003982014,-0.9506461681969445
butcher_lang_1879,fair-haired,1.0,12.0,-0.8162132003982014,-0.9506461681969445
butcher_lang_1879,grieving,0.0,7.0,-1.3950851405688205,-0.9654230966104176
butcher_lang_1879,ruthless,0.0,7.0,-1.3950851405688205,-0.9654230966104176
butcher_lang_1879,small,4.0,27.0,-0.5095037685394868,-1.0069318647605325
butcher_lang_1879,immense,0.0,8.0,-1.51715896330054,-1.0554550721673261
butcher_lang_1879,powerful,0.0,8.0,-1.51715896330054,-1.0554550721673261
butcher_lang_1879,ruddy,1.0,14.0,-0.9626751960631426,-1.1308061722726706
butcher_lang_1879,violent,1.0,14.0,-0.9626751960631426,-1.1308061722726706
butcher_lang_1879,boundless,3.0,24.0,-0.6439926933345408,-1.1333372502740426
butcher_lang_1879,dusky,0.0,9.0,-1.625302827592618,-1.1358077693190445
butcher_lang_1879,thoughtful,0.0,9.0,-1.625302827592618,-1.1358077693190445
butcher_lang_1879,able,6.0,39.0,-0.5043464021185695,-1.1974843924320866
butcher_lang_1879,heroic,0.0,10.0,-1.7223127732383672,-1.2083873292708343
butcher_lang_1879,honest,1.0,15.0,-1.02839020005828,-1.212311173815716
butcher_lang_1879,raging,1.0,15.0,-1.02839020005828,-1.212311173815716
butcher_lang_1879,splendid,5.0,35.0,-0.5640084218122716,-1.2372986087376376
butcher_lang_1879,unjust,2.0,21.0,-0.8474532822871579,-1.2768943390824723
butcher_lang_1879,prudent,5.0,36.0,-0.5915914922904459,-1.3003876040179745
butcher_lang_1879,joyful,1.0,17.0,-1.1478030717546241,-1.3613994276673254
butcher_lang_1879,peaceful,1.0,17.0,-1.1478030717546241,-1.3613994276673254
butcher_lang_1879,cheerful,0.0,13.0,-1.9644598653818086,-1.3918549117035588
butcher_lang_1879,blue,2.0,24.0,-0.9764320093468237,-1.4821209863565497
butcher_lang_1879,mournful,0.0,15.0,-2.0965447062972373,-1.4935414211966325
butcher_lang_1879,weak,0.0,15.0,-2.0965447062972373,-1.4935414211966325
butcher_lang_1879,youthful,0.0,15.0,-2.0965447062972373,-1.4935414211966325
butcher_lang_1879,impious,1.0,19.0,-1.2540745678923857,-1.49509314213177
butcher_lang_1879,hospitable,8.0,55.0,-0.5762722063703247,-1.5729855534270165
butcher_lang_1879,angry,13.0,78.0,-0.46198962863191184,-1.5755773350185083
butcher_lang_1879,stubborn,0.0,17.0,-2.2118775282867817,-1.5834450216872544
butcher_lang_1879,patient,4.0,36.0,-0.7902735794460902,-1.5921408245563555
butcher_lang_1879,false,0.0,18.0,-2.264447439585944,-1.624813430002254
butcher_lang_1879,glittering,0.0,18.0,-2.264447439585944,-1.624813430002254
butcher_lang_1879,virtuous,0.0,18.0,-2.264447439585944,-1.624813430002254
butcher_lang_1879,aged,3.0,32.0,-0.9236514514584853,-1.654099908579853
butcher_lang_1879,radiant,0.0,20.0,-2.3611298085725254,-1.7016083949870902
butcher_lang_1879,vast,2.0,28.0,-1.125484952661533,-1.721772183144186
butcher_lang_1879,gold,24.0,131.0,-0.3839717371366733,-1.7528314898453834
butcher_lang_1879,cruel,8.0,59.0,-0.6455052868316518,-1.7705421297772435
butcher_lang_1879,savage,2.0,29.0,-1.15942828584767,-1.7766948296652663
butcher_lang_1879,green,1.0,24.0,-1.4775016750589653,-1.779154053237809
butcher_lang_1879,pious,0.0,23.0,-2.488817492874605,-1.8046360295251362
butcher_lang_1879,generous,0.0,27.0,-2.6342813796340057,-1.924649007170808
butcher_lang_1879,furious,0.0,30.0,-2.729125831547279,-2.0047016184568083
butcher_lang_1879,anxious,0.0,31.0,-2.758505806490393,-2.029827638156851
butcher_lang_1879,insolent,1.0,30.0,-1.6907989280130904,-2.0541579021604437
butcher_lang_1879,knowing,0.0,32.0,-2.786886310661558,-2.0542575848876763
butcher_lang_1879,wicked,0.0,33.0,-2.814328420699618,-2.0780344023217503
